Location,Baths,Beds,Dining Room,Laundry Room,Store Rooms,Kitchens,Drawing Room,Gym,Powder Room,Steam Room,Prayer Rooms,Lounge or Sitting Room,price_usd,additional rooms,area_squared_meter,Total Rooms,total amenity rooms,total regular rooms,State
"Bahria Town, Lahore, Punjab",6.0,5.0,0,0,0,0,0,0,0,0,0,0,122544.6026311047,0,260.0,11.0,0,11.0,Punjab
"Wapda Town, Lahore, Punjab",6.0,6.0,1,1,1,2,1,0,1,1,1,1,185619.03045593802,1,260.0,23.0,5,18.0,Punjab
"Wapda Town, Lahore, Punjab",6.0,6.0,1,1,2,2,1,1,1,1,1,1,173004.14489097137,1,506.0,25.0,6,19.0,Punjab
"Bahria Orchard, Lahore, Punjab",3.0,3.0,1,0,0,2,1,0,0,0,0,0,70282.9338619571,1,130.0,11.0,1,10.0,Punjab
"DHA Defence, Lahore, Punjab",5.0,5.0,0,0,1,2,0,0,0,0,0,0,160389.25932600469,1,286.0,14.0,0,14.0,Punjab
"Bahria Town, Lahore, Punjab",6.0,5.0,1,0,0,2,1,0,1,0,1,1,93710.57848260949,1,208.0,19.0,4,15.0,Punjab
"Bahria Town, Lahore, Punjab",4.0,3.0,1,1,0,2,1,0,1,1,1,1,68480.80735267616,1,130.0,17.0,5,12.0,Punjab
"Canal Garden, Lahore, Punjab",6.0,6.0,1,1,1,2,1,1,1,1,1,1,129753.10866822851,1,260.0,24.0,6,18.0,Punjab
"Taj Bagh Scheme, Lahore, Punjab",3.0,4.0,0,0,0,0,0,0,0,0,0,0,36042.530185619034,0,78.0,7.0,0,7.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,0,1,2,2,1,0,1,1,0,0,486574.15750585694,1,1012.0,20.0,3,17.0,Punjab
"Park View City, Lahore, Punjab",4.0,4.0,1,0,0,2,1,0,0,0,0,1,64876.554334114255,1,130.0,14.0,2,12.0,Punjab
"Bedian Road, Lahore, Punjab",4.0,4.0,1,1,1,2,1,0,1,1,1,1,52261.668769147596,1,130.0,19.0,5,14.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,0,0,0,0,0,0,0,0,0,0,336997.65723553795,0,506.0,11.0,0,11.0,Punjab
"DHA Defence, Lahore, Punjab",3.0,3.0,0,0,0,0,0,0,0,0,0,0,99116.95801045233,0,130.0,6.0,0,6.0,Punjab
"Al Faisal Town, Lahore, Punjab",2.0,2.0,0,0,0,2,0,0,0,0,0,0,18021.265092809517,1,39.0,7.0,0,7.0,Punjab
"DHA Defence, Lahore, Punjab",5.0,4.0,1,1,1,2,1,1,1,1,1,1,174806.2714002523,1,260.0,21.0,6,15.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,1,2,1,1,1,1,1,1,243287.07875292847,1,506.0,23.0,6,17.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,1,2,1,1,1,1,1,1,248693.45828077133,1,506.0,23.0,6,17.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,2,2,1,1,1,1,1,1,304559.3800684808,1,506.0,24.0,6,18.0,Punjab
"Bahria Town, Lahore, Punjab",4.0,3.0,1,1,1,2,1,1,1,1,1,1,81095.69291764282,1,130.0,19.0,6,13.0,Punjab
"DHA Defence, Lahore, Punjab",4.0,3.0,1,1,1,1,1,1,1,1,1,1,72085.06037123807,1,130.0,18.0,6,12.0,Punjab
"Canal Bank Housing Scheme, Lahore, Punjab",3.0,3.0,1,1,0,2,1,1,1,1,1,1,34240.40367633808,1,72.8,17.0,6,11.0,Punjab
"Bahria Town, Lahore, Punjab",3.0,3.0,1,0,0,2,1,0,0,0,0,0,90106.32546404758,1,130.0,11.0,1,10.0,Punjab
"Bahria Town, Lahore, Punjab",4.0,3.0,1,1,0,2,1,1,1,1,1,1,79293.56640836188,1,130.0,18.0,6,12.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,0,1,2,1,0,1,0,0,1,306361.5065777618,1,506.0,19.0,3,16.0,Punjab
"DHA Defence, Lahore, Punjab",4.0,4.0,0,0,0,0,0,0,0,0,0,0,156785.0063074428,0,260.0,8.0,0,8.0,Punjab
"Al Rehman Garden, Lahore, Punjab",4.0,4.0,0,0,0,0,0,0,0,0,0,0,55865.9217877095,0,130.0,8.0,0,8.0,Punjab
